小区,经度,纬度,sku
海岸锦城社区,120.350119,36.102413,2
海岸馨园社区,120.342028,36.112096,18
小村庄社区,120.365028,36.105758,11
宜昌馨苑社区,120.35099,36.119148,30
宜昌美景社区,120.338185,36.117548,14
兴隆家园社区,120.343536,36.114125,4
湖清路22号社区,120.359616,36.126913,210
秀兰禧悦都社区,120.356377,36.122909,83
阜新社区,120.361402,36.103088,1
海尔世纪公馆社区2,120.391937,36.12353,3
联城海岸锦城社区,120.3476,36.101293,37
兴隆花园社区,120.342913,36.115299,15
海岸馨园2团社区,120.345087,36.104017,15
保利香槟国际社区,120.351764,36.146054,1
瑞海馨园社区,120.35117,36.1467,39
瑞海景园社区,120.343059,36.135814,17
海湾花园社区,120.338346,36.115559,12
吉水路社区,120.36462,36.111729,11
绿地阅海府邸社区,120.354029,36.156119,7
中海蓝庭海汇广场,120.35117,36.1467,3
万科未来城二期社区,120.373779,36.143127,1
温莎郡社区,120.34935,36.147133,16
华能社区,120.343567,36.11541,3
海岸阳光社区,120.340873,36.111162,4
海岸路华融望海社区,120.345666,36.102103,1
辽宁路社区,120.332351,36.082428,14
铁山路社区,120.329849,36.080535,16
金茂湾一期社区,120.299572,36.062804,1
天赐良园社区,120.36483,36.07906,5
兴安路社区,120.339428,36.070614,5
芙蓉山庄社区,120.35582,36.09221,27
航务宿舍社区,120.370871,36.072948,175
大港一路社区,120.335513,36.085367,1
盛世豪庭社区,120.359684,36.091219,15
海逸景园社区,120.319255,36.080352,7
龙江路社区,120.33459,36.065224,54
琴岛山庄社区,120.339508,36.06985,11
超银小学胖胖社区,120.372058,36.083493,34
翠竹园社区,120.346962,36.077566,7
前进嘉苑社区,120.320048,36.082531,10
观象山庄社区,120.325419,36.071637,5
西仲花园社区,120.356325,36.079752,13
瞿塘峡路社区,120.305048,36.05416,5
西康路社区,120.304596,36.05743,9
中山路社区,120.318679,36.07331,22
太平洋心怡公寓,120.40792,36.154644,30
康太源尚誉,120.416901,36.165335,9
1邢台路小区,120.398849,36.186222,55
2海怡新城锦绣苑,120.381375,36.180174,93
2东山郡西区,120.4308,36.16403,7
福顺嘉园,120.406803,36.156447,3
1汾阳路社区,120.377292,36.191211,30
A华泰新苑小区,120.387062,36.187135,5
2百通馨苑,120.434865,36.182531,5
阳光香蜜湖,120.399707,36.192265,6
2西山片区,120.413022,36.156548,24
A绿地香颂,120.409867,36.164269,10
梦境江南社区,120.40562,36.13434,11
1远东海岸华府,120.379007,36.189658,21
2中海国际,120.42756,36.152023,13
兴华苑小区,120.380867,36.186359,2
元顺和苑,120.409471,36.163344,17
德馨筑家,120.406646,36.131888,2
博文干洗店,120.420303,36.164566,4
蓝光coco蜜城,120.412355,36.171373,4
坊子街新禧苑1,120.398676,36.195218,2
虎山花园,120.413909,36.169173,1
滨河家园,120.419898,36.15382,3
和达和成,120.477583,36.174907,14
2万福山庄,120.425038,36.179811,44
1依山小居,120.432263,36.176539,19
万科如园,120.483393,36.17656,20
1福临万家2期东区,120.440297,36.148686,16
2馨苑小区,120.423781,36.177149,35
1伴山银河,120.457823,36.161243,35
青云阁温钰轩茶礼行,120.428727,36.164576,10
万达悦公馆,120.438654,36.163689,6
御城,120.431062,36.154416,8
2金水路裕丰小区,120.425278,36.175368,4
上臧家园,120.473254,36.186805,3
2福临万家,120.42097,36.147197,2
卓越皇后道,120.476626,36.179099,1
恒苑小区,120.406044,36.101184,42
1远洋风景,120.430661,36.106509,15
颐景园小区,120.45531,36.088692,46
海尔东城国际北区,120.439055,36.111422,70
鲁信长春花园1,120.436753,36.101271,4
1埠东新村,120.44539,36.11129,125
A洪山坡小区,120.40236,36.09951,22
2湖光山色北区,120.427892,36.100805,20
2客宜家,120.426123,36.102747,15
湖光山色,120.427436,36.097743,7
和悦蓝庭,120.443092,36.10984,20
北姜佳苑,120.542806,36.114036,13
山水名园,120.498982,36.099569,14
盛世美邦,120.403901,36.098804,2
1王家村,120.488474,36.101156,38
海尔路69号,120.458891,36.097078,8
错埠岭,120.391345,36.10165,9
2石老人花园,120.496028,36.098202,9
石湾新苑,120.520607,36.110088,2
美誉天城,120.399989,36.311502,24
1金岭新村,120.462654,36.108711,74
1正恒泰改衣店,120.459588,36.107692,26
1车宋社区,120.44857,36.122572,27
1左岸风度小区,120.420848,36.125574,34
1东韩小区,120.438103,36.126179,17
2崂山区中韩街道,120.433346,36.127647,35
中韩街道董家下庄221,120.461221,36.131227,12
2财富大厦,120.45235,36.10785,3
2浮山后二小区,120.4166,36.106703,5
保利叶公馆,120.401059,36.114441,15
2西韩新苑,120.427685,36.124186,12
郑张村社区,120.47827,36.141036,10
国际名都,120.455787,36.114124,4
2孙家下庄,120.466286,36.130542,2
1青特花溪地一期,120.333365,36.251226,266
龙湖滟澜海岸二期,120.324997,36.250081,9
A溪景海岸,120.280239,36.281232,9
1青特花溪地二期,120.33394,36.25043,31
星河湾,120.355971,36.223399,7
龙湖大方居1,120.333701,36.247955,2
卓越蔚蓝群岛四期,120.330053,36.261482,5
A海德花园,120.289406,36.253064,43
A领秀珊瑚湾二期,120.297642,36.285417,14
1世茂公园美地小区,120.304413,36.28197,5
1正商蓝海港湾,120.357971,36.099761,1
金茂悦西区,120.315976,36.289701,4
卓越蔚蓝群岛三期,120.333247,36.259032,4
天泰城迦南美地,120.42198,36.22016,35
湘潭路市场,120.401551,36.22411,33
1中南世纪城一期,120.40229,36.204639,110
1龙泽书苑,120.50624,36.163528,36
王埠景苑,120.430805,36.195971,4
上王埠花园,120.430753,36.187863,4
天泰城美立方,120.421136,36.225564,6
罗圈涧小区,120.427947,36.159809,3
以琳美地,120.420161,36.224917,34
沙子口中北崂小区,120.531785,36.123404,12
A青岛印象湾,120.418089,36.218068,7
1湖畔雅居石沟,120.40852,36.190616,6
上流家园B区琴惠佳超市,120.502094,36.189529,12
嘉凯城时代城,120.42987,36.20136,9
湖山美地,120.423896,36.18584,2
2北龙口社区宁家福超市,120.509251,36.167183,3
金水龙泽苑小区,120.408748,36.187352,3
华胥美邦市场,120.420241,36.228825,2
百通青山绿水,120.425849,36.196155,3
2金域府邸,120.36429,36.127239,59
1绿地阅海府邸,120.355594,36.152653,42
2紫荆苑小区,120.362937,36.128013,12
中惠景园,120.484117,36.382699,3
1渤海湾花园,120.399638,36.251016,22
桃源居1,120.39631,36.307064,28
怡景苑小区,120.43901,36.381725,5
金日紫都,120.391895,36.324334,18
润发家园北门,120.419739,36.375915,11
2鑫合佳苑,120.421273,36.391745,10
1金华苑小区,120.371528,36.128401,7
2世纪花苑北区,120.431915,36.396114,14
闻馨苑,120.428228,36.383561,14
海情御园,120.370086,36.136936,9
阳光城,120.419296,36.3855,13
后桃林社区,120.415255,36.290981,6
城南小学,120.459035,36.378046,2
江南花园,120.42725,36.3905,5
美青科技工业园,120.353494,36.133528,12
1保利百合花园,120.361455,36.132854,45
万科未来城,120.373779,36.143127,9
1雍翠华苑,120.368052,36.12474,17
小村庄小区,120.365347,36.105726,19
1北岭山海信小区,120.364645,36.119153,34
康顺社区美味屋,120.35964,36.099314,17
瑞昌路筑港宿舍,120.365759,36.111534,5
嘉定路社区,120.363647,36.111505,7
2山海景园,120.360565,36.131771,5
1南公司,120.353139,36.111212,32
2瑞昌路社区,120.369424,36.106378,9
2金科星辰,120.358175,36.119568,12
杏杭社区2,120.435392,36.236786,5
2人民二路鑫家超市,120.358177,36.108016,3
A盛泰家园B区东发达超市,120.453325,36.262089,7
